"STATIONNAME","STATIONARRONDISSEMENT","STATIONLATITUDE","STATIONLONGITUDE"
"Parc Howard (de l'Épée / de Liège)","Villeray - Saint-Michel - Parc-Extension",45.5616903,-73.610512
"de l'Hôtel-de-Ville / Roy","Le Plateau-Mont-Royal",45.517401,-73.574605
"Dollard / Bernard","Outremont",45.516783,-73.611423
"La Ronde","Ville-Marie",45.521565,-73.535332
"St-Antoine / St-François-Xavier","Ville-Marie",45.504591,-73.559188
"Bloomfield / Jean-Talon","Villeray - Saint-Michel - Parc-Extension",45.5274603,-73.6241752
"Melville / de Maisonneuve","Westmount",45.4818402,-73.595379
"Édouard-Montpetit / de Stirling","Côte-des-Neiges - Notre-Dame-de-Grâce",45.50723,-73.615085
"Bernard / Jeanne-Mance","Le Plateau-Mont-Royal",45.524287,-73.604973
"Mackay / Ste-Catherine","Ville-Marie",45.495709,-73.576952
"Jeanne-Mance / Laurier","Le Plateau-Mont-Royal",45.5201249,-73.5952138
"Parc Maisonneuve (Viau / Sherbrooke)","Rosemont - La Petite-Patrie",45.5649368,-73.5555911
"Métro Charlevoix (Centre / Charlevoix)","Le Sud-Ouest",45.478228,-73.569651
"Clark / St-Viateur","Le Plateau-Mont-Royal",45.5251603,-73.5992467
"Marquette / Laurier","Le Plateau-Mont-Royal",45.53543,-73.5822
"McTavish / Sherbrooke","Ville-Marie",45.502813,-73.576024
"Métro Place-d'Armes (Viger / St-Urbain)","Ville-Marie",45.50623,-73.55976
"de Maisonneuve / Mansfield (sud)","Ville-Marie",45.502145,-73.573427
"Aylwin / Ontario","Mercier - Hochelaga-Maisonneuve",45.544284,-73.54534
"Parc riverain de Lachine (des Iroquois)","Lachine",45.4305431,-73.6690244
"Place Émilie-Gamelin","Ville-Marie",45.515901,-73.559948
"Métro Papineau (Cartier / Ste-Catherine)","Ville-Marie",45.52353,-73.55199
"de Gaspé / Beaubien","Rosemont - La Petite-Patrie",45.5319579,-73.607001
"St-Dominique / Rachel","Le Plateau-Mont-Royal",45.518593,-73.581566
"St-Dominique / St-Viateur","Le Plateau-Mont-Royal",45.526557,-73.598276
"Queen / Wellington","Ville-Marie",45.497605,-73.55535
"Métro Sauvé (Berri / Sauvé)","Ahuntsic-Cartierville",45.550692,-73.656367
"Brittany / Ainsley","Mont-Royal",45.5258899,-73.6500344
"Jeanne-Mance / René-Lévesque","Ville-Marie",45.506371,-73.564201
"Parc Olympique (Pie-IX / Sherbrooke)","Mercier - Hochelaga-Maisonneuve",45.5548245,-73.5537028
"Alexandre-DeSève / Ontario","Ville-Marie",45.5243588,-73.5605344
"Smith / Peel","Le Sud-Ouest",-1,-1
"Henri-Julien / de Castelnau","Villeray - Saint-Michel - Parc-Extension",45.537891,-73.618215
"St-Dominique / Laurier","Le Plateau-Mont-Royal",45.5236149,-73.5924574
"Fullum / Holt","Rosemont - La Petite-Patrie",45.5439195,-73.5842489
"27e avenue / Rosemont","Rosemont - La Petite-Patrie",45.5636787,-73.5716045
"Plessis / Ontario","Ville-Marie",45.523492,-73.56073
"Parc Jeanne-Mance (du Mont-Royal / du Parc)","Le Plateau-Mont-Royal",45.517,-73.589
"Métro Joliette  (Joliette / Hochelaga)","Mercier - Hochelaga-Maisonneuve",45.546907,-73.551557
"BAnQ (Berri / de Maisonneuve)","Ville-Marie",45.515299,-73.561273
"Calixa-Lavallée / Sherbrooke","Le Plateau-Mont-Royal",45.52479,-73.56545
"Marie-Anne / Papineau","Le Plateau-Mont-Royal",45.5317737,-73.5724462
"Duluth / St-Laurent","Le Plateau-Mont-Royal",45.516876,-73.57946
"Tolhurst / Fleury","Ahuntsic-Cartierville",45.544149,-73.66752
"Garnier / St-Grégoire","Le Plateau-Mont-Royal",45.5358344,-73.5870212
"Drolet / Laurier","Le Plateau-Mont-Royal",45.526252,-73.589758
"Jacques-Casault / Christophe-Colomb","Ahuntsic-Cartierville",45.552123,-73.630103
"St-André / Cherrier","Le Plateau-Mont-Royal",45.520524,-73.567697
"Parc Jeanne Mance (monument sir George-Etienne Cartier)","Le Plateau-Mont-Royal",45.51484,-73.584779
"St-Denis / René-Lévesque","Ville-Marie",45.512871,-73.558466
"Notre-Dame-de-Grâce / Westmount","Westmount",45.4804701,-73.6112161
"Bourget / St-Jacques","Le Sud-Ouest",45.4808458,-73.5838616
"Milton / Durocher","Le Plateau-Mont-Royal",45.508141,-73.57493
"Métro Guy-Concordia (Guy / St-Catherine)","Ville-Marie",45.495045,-73.57783
"Parc du Pélican (2e avenue / St-Joseph)","Rosemont - La Petite-Patrie",45.544513,-73.571564
"Métro Parc  (Hutchison / Ogilvy)","Villeray - Saint-Michel - Parc-Extension",45.5303513,-73.6243924
"Mozart / St-Laurent","Rosemont - La Petite-Patrie",45.53318,-73.61544
"Vallières / St-Laurent","Le Plateau-Mont-Royal",45.518967,-73.583616
"Laurier / de Bordeaux","Le Plateau-Mont-Royal",45.537205,-73.579254
"Émile-Duployé / Sherbrooke","Le Plateau-Mont-Royal",45.527201,-73.564729
"Parc de Bullion (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",45.515604,-73.572135
"CHU Ste-Justine (de la Côte Ste-Catherine / Hudson)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.5039817,-73.6228395
"de St-Firmin / Fleury","Ahuntsic-Cartierville",45.570657,-73.651842
"16e avenue / Jean-Talon","Villeray - Saint-Michel - Parc-Extension",45.56244,-73.595333
"CCI Outremont (Dollard / Durcharme)","Outremont",45.5200191,-73.6189073
"Guilbault / Clark","Le Plateau-Mont-Royal",45.514108,-73.57523
"St-Joseph / 8e avenue Lachine","Lachine",45.43155,-73.67112
"Mackay / de Maisonneuve","Ville-Marie",45.49683,-73.57913
"Beaudry / Sherbrooke","Ville-Marie",45.523035,-73.565395
"Berri / Cherrier","Le Plateau-Mont-Royal",45.519088,-73.569509
"Square St-Louis (du Square St-Louis / Laval)","Le Plateau-Mont-Royal",45.516091,-73.570129
