"station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain"
38,"9",16,"Thursday",1,0,1170.65,13.1533707865169,NA,23,51,89,16.9,0.2
38,"9",25,"Saturday",1,0,859.716666666667,15.0827485380117,NA,9,36,57,16.7,0
38,"9",27,"Monday",1,0,713.85,11.15390625,NA,19,34,64,13.6,3.1
38,"10",27,"Wednesday",1,0,558.833333333333,10.5440251572327,NA,19,30,53,9.6,0
43,"4",10,"Saturday",1,0,558.983333333333,21.499358974359,NA,5,9,26,16.4,0
43,"4",17,"Saturday",0,0,147.25,16.3611111111111,33.3375,0,9,9,6.8,0
43,"6",10,"Thursday",0,0,474.3,19.7625,101.145,9,10,24,18.5,0
43,"6",19,"Saturday",0,0,512.616666666667,18.9858024691358,110.6425,3,8,27,20.7,1.9
43,"6",23,"Wednesday",1,0,763,12.7166666666667,NA,14,26,60,14.5,0
43,"7",15,"Thursday",0,0,341.666666666667,28.4722222222222,66.25,1,6,12,25.3,3.2
43,"8",4,"Wednesday",1,0,924.55,15.6703389830508,NA,11,33,59,21.1,0.2
43,"8",13,"Friday",0,0,342,18,75.05,4,8,19,27,0.2
43,"8",13,"Friday",1,0,501.833333333333,11.6705426356589,NA,9,26,43,27,0.2
43,"8",16,"Monday",1,0,718.116666666667,12.5985380116959,NA,16,32,57,19.5,0
43,"9",6,"Monday",0,1,296.933333333333,13.4969696969697,72.04,6,11,22,17.4,6.3
43,"9",12,"Sunday",1,0,660.833333333333,15.3682170542636,NA,8,22,43,19.1,0
43,"9",17,"Friday",1,0,1605.76666666667,14.0856725146199,NA,30,68,114,19.8,0
43,"9",28,"Tuesday",1,0,1749.96666666667,13.6716145833333,NA,25,90,128,10.5,0.2
43,"10",16,"Saturday",1,0,219.716666666667,9.55289855072464,NA,8,8,23,15.8,18.7
43,"10",31,"Sunday",1,0,88.6,7.38333333333333,NA,1,5,12,9.6,37
47,"4",24,"Saturday",0,0,275.316666666667,25.0287878787879,55.0475,0,11,11,14.1,0
47,"4",28,"Wednesday",1,0,420.25,13.5564516129032,NA,5,17,31,12.8,4.3
47,"5",16,"Sunday",0,0,432.15,28.81,83.5725,0,14,15,15.8,0.3
47,"5",17,"Monday",1,0,1188.15,16.5020833333333,NA,6,48,72,17.9,0.2
47,"5",22,"Saturday",0,0,264.366666666667,17.6244444444444,58.405,2,10,15,23.6,0.3
47,"6",10,"Thursday",0,0,219.516666666667,12.9127450980392,54.1775,1,8,17,18.5,0
47,"7",6,"Tuesday",0,0,232.316666666667,23.2316666666667,47.3475,0,5,10,23.1,1.2
47,"7",15,"Thursday",1,0,1547.08333333333,13.2229344729345,NA,25,61,117,25.3,3.2
47,"7",22,"Thursday",1,0,1289.56666666667,13.2945017182131,NA,20,39,97,19.6,0
47,"7",30,"Friday",0,0,394.95,17.9522727272727,86.7425,0,15,22,16.5,0
47,"8",26,"Thursday",0,0,402.133333333333,16.0853333333333,91.57,3,8,25,27.6,0
47,"10",2,"Saturday",0,0,102.783333333333,12.8479166666667,25.4175,0,4,8,11.9,11.4
47,"10",10,"Sunday",1,0,903.083333333333,12.0411111111111,NA,7,39,75,16.2,0
47,"10",16,"Saturday",1,0,543.016666666667,13.5754166666667,NA,5,19,40,15.8,18.7
47,"10",19,"Tuesday",0,0,152.4,10.16,41.61,2,11,15,8.8,0
47,"10",23,"Saturday",1,0,848.9,12.8621212121212,NA,10,36,66,4.9,0
