"","name","latitude","longitude","station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain","arrond","rain_bin","wkend","superficie","population_2021","density"
"74","16e avenue / Jean-Talon",45.56244,-73.595333,487,"5","11","Tuesday","0",0,114.466666666667,22.8933333333333,23.42,1,4,5,9.8,0,"Villeray-Saint-Michel-Parc-Extension",0,0,16.5,145090,8793.33333333333
"75","16e avenue / Jean-Talon",45.56244,-73.595333,487,"5","14","Friday","0",0,78.3,26.1,15.495,1,1,3,17.8,0,"Villeray-Saint-Michel-Parc-Extension",0,0,16.5,145090,8793.33333333333
"76","16e avenue / Jean-Talon",45.56244,-73.595333,487,"6","13","Sunday","0",0,123.6,24.72,24.79,2,1,5,21.6,2.8,"Villeray-Saint-Michel-Parc-Extension",1,1,16.5,145090,8793.33333333333
"77","16e avenue / Jean-Talon",45.56244,-73.595333,487,"8","23","Monday","1",0,434.483333333333,16.091975308642,NA,7,11,27,26.7,0,"Villeray-Saint-Michel-Parc-Extension",0,0,16.5,145090,8793.33333333333
"78","16e avenue / Jean-Talon",45.56244,-73.595333,487,"8","27","Friday","1",0,521.25,20.85,NA,5,17,25,21.2,0,"Villeray-Saint-Michel-Parc-Extension",0,0,16.5,145090,8793.33333333333
"79","16e avenue / Jean-Talon",45.56244,-73.595333,487,"9","4","Saturday","1",0,336.25,17.6973684210526,NA,3,12,19,19,0,"Villeray-Saint-Michel-Parc-Extension",0,1,16.5,145090,8793.33333333333
"80","16e avenue / Jean-Talon",45.56244,-73.595333,487,"9","15","Wednesday","1",0,294.75,13.3977272727273,NA,5,11,22,17.6,11.1,"Villeray-Saint-Michel-Parc-Extension",1,0,16.5,145090,8793.33333333333
"81","16e avenue / Jean-Talon",45.56244,-73.595333,487,"10","3","Sunday","1",0,257.683333333333,18.4059523809524,NA,0,10,14,13,0.7,"Villeray-Saint-Michel-Parc-Extension",1,1,16.5,145090,8793.33333333333
"82","16e avenue / Jean-Talon",45.56244,-73.595333,487,"10","7","Thursday","1",0,376.8,17.1272727272727,NA,8,10,22,14.4,0,"Villeray-Saint-Michel-Parc-Extension",0,0,16.5,145090,8793.33333333333
"83","16e avenue / Jean-Talon",45.56244,-73.595333,487,"10","11","Monday","0",1,102.85,25.7125,20.4275,0,2,4,18.4,0,"Villeray-Saint-Michel-Parc-Extension",0,0,16.5,145090,8793.33333333333
"84","16e avenue / Jean-Talon",45.56244,-73.595333,487,"10","17","Sunday","0",0,36.2833333333333,18.1416666666667,7.9425,1,1,2,11.1,0.2,"Villeray-Saint-Michel-Parc-Extension",1,1,16.5,145090,8793.33333333333
