OBJECTID,Type,Lien,Nom,NUM_INDEX,SUPERFICIE,PROPRIETE,GESTION,COMPETENCE,TYPO1,TYPO2
5249,,,Georges-Vanier,0571-248,0.03519152284717034,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Place publique
5250,Parc,des,Selliers,0648-000,0.03450216179848581,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
5251,Parc,,Saint-Patrick,0902-000,0.42823820471357005,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de voisinage
5252,Parc,,Victor-Rousselot,0518-000,0.3521010450372177,Commission scolaire,Commission scolaire,Gouvernement du Québec,Parc d'arrondissement,Parc école
5253,Parc-école,,Saint-Jean-de-la-Croix,1130-000,0.12130790955076068,Commission scolaire,Commission scolaire,Gouvernement du Québec,Parc d'arrondissement,Parc école
5254,Parc,,Dante,0303-000,0.2230846891350052,Ville de Montréal,Rosemont-La Petite-Patrie,Arrondissement,Parc d'arrondissement,Parc de quartier
5255,Parc,de,Rosemont,0196-000,1.3941804974236138,Ville de Montréal,Rosemont-La Petite-Patrie,Arrondissement,Parc d'arrondissement,Parc de quartier
5256,,,Damien-Gauthier,1231-000,2.3162351190509893,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Îlot de verdure
5257,,,Paul-Letondal,1641-011,0.053232622151729664,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Espace voirie,Îlot de voirie
5258,Parc,,Rodrigue-Gilbert,0838-001,0.4584861268472453,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Îlot de verdure
5259,Parc,,Sainte-Famille,2916-000,0.7798391428255964,Ville de Montréal,Verdun,Arrondissement,Parc d'arrondissement,Îlot de verdure
5260,Parc,,Willibrord,2919-000,0.8857516700634984,Ville de Montréal,Verdun,Arrondissement,Parc d'arrondissement,Parc de quartier
5261,Îlot,,Barbeau,2860-017,0.031258954600233556,Ville de Montréal,Saint-Léonard,Arrondissement,Espace voirie,Îlot de voirie
5262,,,Sainte-Rose / Plessis,0500-000,0.06924500066702478,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Place publique
5263,Parc,,Médéric-Martin,0252-000,0.9429809476956277,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Parc de quartier
5264,Parc,,Joly,2380-000,0.08354009702078169,Ville de Montréal,L'Île-Bizard-Sainte-Geneviève,Arrondissement,Parc d'arrondissement,Parc de voisinage
5265,Parc,,Georges-Legault,2381-000,0.07004005815582087,Ville de Montréal,L'Île-Bizard-Sainte-Geneviève,Arrondissement,Parc d'arrondissement,Îlot de verdure
5266,,,,,0.06102360814396275,,,,En cours de validation,
5267,,,York / De Roberval,1020-000,0.12069387971496823,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Îlot de voirie
5268,Parc,,Technométropolitain,1093-000,0.5158939852151582,Ville de Montréal,Le Sud-Ouest,Arrondissement,Autre espace vert,Parc écran
5269,Parc,de l',Encan,0372-000,0.3574426227192827,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de voisinage
5270,Parc,,Richelieu,0697-000,0.9381764577876893,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Parc de quartier
