OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
170,075-0084,0179-000,Soccer à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
171,075-0086,0179-000,Soccer à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
172,001-0030,1215-000,Abri soleil,LaSalle,Plein air
173,075-0085,0179-000,Soccer à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
174,066-0002,0206-000,Rugby / Soccer à 11,Rosemont-La Petite-Patrie,Sportif
175,081-0104,0161-000,Tennis,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
176,049-0031, ,Pastille - Basketball,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
177,018-0048,0940-000,Basketball,Villeray-Saint-Michel-Parc-Extension,Récréatif
178,073-0051-76-S2,2348-000,Soccer sous-terrain à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
179,042-0160,0140-000,Jeux d'eau,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
180,009-0063,0145-000,Aire de pique-nique,Côte-des-Neiges-Notre-Dame-de-Grâce,Plein air
181,071-0064,0513-000,Sentier pédestre,Côte-des-Neiges-Notre-Dame-de-Grâce,Plein air
182,089-0063,0146-000,Volleyball de plage,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
183,018-0143,0146-000,Basketball,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
184,009-0064,0146-000,Aire de pique-nique,Côte-des-Neiges-Notre-Dame-de-Grâce,Plein air
185,089-0064,0138-000,Volleyball de plage,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
186,053-0091,0138-000,Patinoire sans bandes,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
187,073-0110,2826-000,Soccer à 11,Saint-Laurent,Sportif
188,075-0087,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
189,075-0088,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
190,064-0013,0704-000,Rampe de mise à l'eau / descente de bateaux,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
191,075-0089,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
192,075-0090,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
193,075-0091,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
194,075-0092,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
195,004-0458,2831-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
196,067-0019,2796-000,Scène,Saint-Laurent,Loisirs et détente
197,071-0065,2796-000,Sentier pédestre,Saint-Laurent,Plein air
198,005-0042,2796-000,Aire de jeu combiné,Saint-Laurent,Aire de jeu - enfant
199,001-0032,2796-000,Abri soleil,Saint-Laurent,Plein air
200,097-0003,0355-000,Fontaine,Ville-Marie,Loisirs et détente
201,097-0002,1269-000,Fontaine,Ville-Marie,Loisirs et détente
202,097-0004,2796-000,Fontaine,Saint-Laurent,Loisirs et détente
203,003-0284,0170-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
204,003-0121,0212-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
205,002-0012,2396-000,Aire de glissade,Lachine,Loisirs et détente
206,031-0018,2800-000,Étang / lac,Saint-Laurent,Plein air
207,031-0019,2805-000,Étang / lac,Saint-Laurent,Plein air
208,009-0065,0341-000,Aire de pique-nique,Le Sud-Ouest,Plein air
209,009-0066,0341-000,Aire de pique-nique,Le Sud-Ouest,Plein air
210,009-0067,0341-000,Aire de pique-nique,Le Sud-Ouest,Plein air
211,009-0068,0950-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
212,020-0028,0950-000,Belvédère,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
213,020-0029,0950-000,Belvédère,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
214,009-0069,0950-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
215,020-0030,0950-000,Belvédère,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
216,070-0017,0950-000,Sentier de ski de fond,Villeray-Saint-Michel-Parc-Extension,Plein air
217,004-0319,0316-000,Aire de jeu  5 à 12 ans,Le Sud-Ouest,Aire de jeu - enfant
218,003-0233,2687-000,Aire de jeu 18 mois à 5 ans,Saint-Laurent,Aire de jeu - enfant
219,020-0031,0950-000,Belvédère,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
220,020-0032,0950-000,Belvédère,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
221,003-0514,0341-000,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
222,009-0070,0947-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
223,042-0161,0947-000,Jeux d'eau,Villeray-Saint-Michel-Parc-Extension,Récréatif
224,003-0515,0947-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
225,102-0001,1083-000,Piste d'athlétisme (100m) et équipements,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
226,075-0095,1648-286,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
227,001-0033,0950-000,Abri soleil,Villeray-Saint-Michel-Parc-Extension,Plein air
228,075-0096,1648-286,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
229,003-0494,2014-000,Aire de jeu 18 mois à 5 ans,Anjou,Aire de jeu - enfant
230,073-0051,2348-000,Soccer à 11,L'Île-Bizard-Sainte-Geneviève,Sportif
231,053-0092,0692-000,Patinoire sans bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
232,100-0005,0121-000,Sentier multifonctionnel,Mercier-Hochelaga-Maisonneuve,Plein air
233,009-0071,0121-000,Aire de pique-nique,Mercier-Hochelaga-Maisonneuve,Plein air
234,074-0021-76-S1,2913-000,Soccer sous-terrain à 7,Verdun,Sportif
235,067-0020,1215-000,Scène,LaSalle,Loisirs et détente
236,081-0102,2859-000,Tennis,Saint-Léonard,Sportif
237,003-0281,0138-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
238,056-0019,1215-000,Piste cyclable,LaSalle,Plein air
239,020-0034,1215-000,Belvédère,LaSalle,Loisirs et détente
240,063-0020,1215-000,Quai,LaSalle,Plein air
241,073-0084-76-S1,0971-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
242,073-0084-76-S2,0971-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
243,003-0516,0238-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
244,009-0072,0238-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
245,042-0162,1071-000,Jeux d'eau,Villeray-Saint-Michel-Parc-Extension,Récréatif
246,009-0073,1071-000,Aire de pique-nique,Villeray-Saint-Michel-Parc-Extension,Plein air
247,074-0024-76-S1,,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
248,074-0024-76-S2,,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
249,067-0015,2009-000,Scène,Anjou,Loisirs et détente
250,018-0049,0952-000,Basketball,Villeray-Saint-Michel-Parc-Extension,Récréatif
251,001-0035,0121-000,Abri soleil,Mercier-Hochelaga-Maisonneuve,Plein air
252,053-0093,0952-000,Patinoire sans bandes,Villeray-Saint-Michel-Parc-Extension,Récréatif
253,009-0074,0219-000,Aire de pique-nique,Rosemont-La Petite-Patrie,Plein air
254,009-0075,0219-000,Aire de pique-nique,Rosemont-La Petite-Patrie,Plein air
255,065-0015,0345-000,Patinoire 4 saisons,Le Sud-Ouest,Récréatif
256,004-0171,0566-000,Aire de jeu  5 à 12 ans,Ville-Marie,Aire de jeu - enfant
